,,,,,,
,7079,P & J TURKEYS INC,1,1,,
,7373,GERTEN GREENHOUSES,1,1,,
,7383,GERTEN GREENHOUSE,1,1,,
,,GERTEN GREENHOUSES,1,1,,
,7418,BARB YAGGIE FARMS,1,1,,
,7562,JARVIS STEIN,2,2,,
,7595,"DIEKMANN FARMS, INC",1,1,,
,7726,RINKE CUSTOM HARVESTING LLP,1,1,,
,7804,TRUMAN RAGUSE FARMS,1,1,,
,7866,NELSON FARMS,1,1,,
,7885,SOYKO INTL INC,1,1,,
,8085,E CLAN INC,1,1,,
,8087,KEN IVERSEN FARMS,1,1,,
,8088,BACHMAN S INC,1,1,,
,8471,HICKORY ORCHARD LLC,1,1,,
,8609,SPEAR FARMS INC,1,1,,
,8803,SCHAEFER FARMS INC,1,1,,
,8928,PETERSON FARM,1,,,1
,8939,YARDMASTERS LANDSCAPE & NURSERY IN,1,1,,
,8955,DAVID LINSTAD FARM,1,1,,
,8971,PEDERSON BROTHERS FARMS,2,1,,1
,9026,NEW HORIZON DAIRY,2,2,,
,9176,J AND H HARVESTING,1,1,,
,9206,LIMA FAMILY FARMS,1,1,,
,9359,COUNTRY GARDENS FLORAL & GREENHOUS,1,1,,
,9567,BYRON FARMS,1,1,,
,9575,HARASETH BROTHERS,1,1,,
Minnesota Total,,,88,80,,8
Mississippi,,PHILLIPS BROTHERS FARM & DUTCH BRA,1,1,,
,815,SUNRISE PLANTING CO LLC,,1,,
,816,GRACE ROAD FARMS,1,1,,
,1515,CLARK PLANTING PARTNERSHIP,1,1,,
,2236,CLARK & CO,,1,,
,2475,HARRY SIMMONS FISH FARM,1,1,,
,2631,T & D FISH FARM INC,1,1,,
,2792,PARKER SMITH FARMS,1,1,,
,3024,4S TURF FARMS LLC DBA SANSING SOD,1,,,1
,3341,M & M LEASING CO INC,1,1,,
,3880,RYAN ALEXANDER FARMS,1,1,,
,4037,LMG GROWERS LLC,1,1,,
,4102,PRISOCK BROTHERS LOGGING INC,1,1,,
,4242,FLYING TATER FARM INC,1,1,,
,4984,BLUFFVIEW FARM PARTNERSHIP,1,1,,
,5160,W W M COMPANY,1,1,,
,5458,WILL NOBILE FARMS INC,1,1,,
,5572,E FARM LLC,1,,,1
,6275,BROWER FARMS,2,1,,1
,6293,H2A COMPLETE II INC,5,5,,
,6296,SELBY HONEY LLC,1,1,,
,6445,ELLENDALE PLANTING CO III,1,1,,
,6816,ABA FARMS PARTNERSHIP,1,1,,
,6973,DAVID DOYLE FARMS,1,1,,
,7197,EM FARMS LLC,1,,,1
,7238,TWO P FARMS INC,1,,,1
,7303,TRICOTN II,1,1,,
,7491,BRAD MALONEY FARMS,1,1,,
,7610,C&E FARM,1,1,,
,7672,MASCOT PLANTING CO,1,1,,
,7703,NEEDMORE FISHERIES LLC,1,1,,
,8166,GREAT SOUTHERN FARMS LLC,4,4,,
,8282,WILLIAMSON & WILLIAMSON FARMS PART,1,1,,
,8301,BULLDOG FARMS LLC,1,1,,
,8332,DELTA HYBRID FARMS INC,1,1,,
,8959,BAILEY COMPANY,1,1,,
,8977,JF PHILLIPS FARMS,1,1,,
,9046,REM OF SHAW INC,1,1,,
,9302,4E FARMS PARTNERSHIP,1,1,,
,9572,FRITZ ISLAND FARMS,1,1,,
,9622,BATTLE FISH FARM NORTH,1,1,,
,9681,LITTLE THAILAND FARMS II,,1,,
,9771,E & E FARMS LLC,1,1,,
,9865,E3 PARTNERSHIP,1,,,1
,9871,GEN 4 FARMS,1,1,,
,9872,DELTA PLANTING CO LLC,1,1,,
Mississippi Total,,,51,48,,6
Missouri,,DUSTIN L SCHUBERT,1,1,,
,20,KYLAN MEIER,2,1,,1
,21,BAMS FARMS PARTNERSHIP,1,1,,
,94,PILLOW FARMS,1,1,,
,200,MESSER FARMS,1,1,,
,240,HANEY FARMING PTR,1,1,,
,310,NORTHSTAR AG,1,1,,
,345,MIKE S TURF FARM INC,1,1,,
,441,WINTER FARMS FAMILY PARTNERSHIP,2,2,,
,482,PHERSON COMBINING,1,1,,
,607,KB CUSTOM AG SVCS LLC,1,1,,
,762,EASTOVER PLANTATION INC,1,1,,
,809,RANDY HELLE,1,1,,
,890,RODGERS PLANTING CO,1,1,,
,,SHOGUN FARMS,1,1,,
,916,BREINIG FARMS INC,1,1,,
,974,SPH FARM,1,1,,
,1047,RUSSELL EDGAR,1,1,,
,1052,FUGLEBERG FARMS,1,1,,
,1106,UNRUH FARMS,1,1,,
,1154,MARVIN RAGETH,1,1,,
,1255,JIMMY B TACKETT DBA BRAD TACKETT F,1,1,,
,1302,PLUS Z FARMS INC,1,1,,
,1320,AERIAL CROP CARE,1,1,,
,1367,HAUGEN COMBINING,1,1,,
,1404,KENT ALAN DUNN,1,1,,
,1477,PARADISE FARMS PARTNERSHIP,1,1,,
,1482,RIVERBEND PLANTATION,1,1,,
,1564,GEORGE L SWANSON,1,1,,
,1686,WRIGHT LIBERTY FARMS LLC,2,2,,
,1903,DELTA FLATLAND FARMS LLC,1,1,,
,1978,PATTERSON & SONS,1,1,,
,2014,REED FARMS PARTNERSHIP,1,1,,
,2042,TRI STATE AG CORP,2,2,,
,2054,OLSEN CUSTOM FARMS LLC,1,1,,
,2075,E&E HARVESTING,1,1,,
,2122,MALONEY FARMS,1,1,,
,2156,SHAFER FARMS INC,1,1,,
,2193,CHENOAH PLANTING,1,1,,
,2271,NEEDMORE PLANTING CO,1,1,,
,2326,TACKETT FISH FARM,1,1,,
,2403,FORFAR GRAIN COMPANY,1,1,,
,2511,INTREPID INC,1,1,,
,2624,WIN TEX AG SERVICES,1,1,,
,2634,RAINBOW PONDS INC,1,1,,
,2790,HEATON LAND COMPANY II,1,1,,
,2841,CONNELLY ENT INC,1,1,,
,2864,CORY PRESKEY,1,1,,
,3134,SOUTHERN PLANTING CO,1,1,,
,3270,D & G FARMS PARTNERSHIP,2,2,,
,3314,TALLEY LAND MGT,1,1,,
,3350,LUBIN FARMS PARTNERSHIP,1,1,,
,3457,WENTZ ENTERPRISES LLC,1,1,,
,3513,JEFF LEIDHOLM,1,1,,
,3516,MIKE SWINDOLL FARMS PARTNERSHIP,1,1,,
,3707,ROBERT SCHAEFER,1,1,,
,3857,TRIPLE RUN FARMS,1,1,,
,3879,LAWREN WOLD,1,1,,
,4026,LEES CUSTOM HARVESTING INC,1,1,,
,4207,P&S FARMS PARTNERSHIP,1,1,,
,4228,RODNEY H WALKER FARMS PARTNERSHIP,1,1,,
,4232,CARY ASSOCIATES,1,1,,
,4271,4 B PLANTING CO INC,1,1,,
,4322,JR FARMS INC,1,1,,
,4339,WILLIAM DUNN FARMS II,1,1,,
,4342,DRY RAIN FARMS LLC,1,1,,
,4384,WIDE HORIZON FARMS,,1,,
,4466,FJ SMYTHE AND SONS,1,1,,
,4491,BARE BONES FARM,1,1,,
,4513,J&D PLANTING,1,1,,
,4608,JOHN RAY ROBERSON JR FARMS,1,1,,
,4609,BRADASH FARMS INC & JEFFREY SHIVER,1,1,,
,4628,D&D HARVESTING & TRUCKING LLC,1,1,,
,4644,THURLOW FARMS INC,1,1,,
,4678,FLAUTT FARMS,1,1,,
,4856,ABELN FARMS LLC,1,1,,
,5053,B&H FARMS PARTNERSHIP,1,1,,
,5063,AUGUSTA WINE CO D/B/A AUGUSTA WINE,1,1,,
,5093,VAN BUREN FARMS II,1,1,,
,5231,ILS FARM PARTNERSHIP,1,1,,
,5237,MICHAEL DENNIS PETERSON,1,1,,
,5366,MOORE COMPANY,1,1,,
,5507,DAVE OLSON INC,1,1,,
,5628,DAKOTA VALLEY GROWERS LLLP,,1,,
,5652,SRB AERIAL APPLICATORS LLC,1,1,,
,5675,JASON R SCHMALENBERGER,1,1,,
,5683,RANDOM SHOT FARMS,1,1,,
,5767,R AND S RICE FARMS,1,1,,
,5830,DODSON FARMS LLC,1,1,,
,6022,ANTHONY FARMS PARTNERSHIP,1,1,,
,6123,DON BOK FARM BY DONG SOO W BOK,1,1,,
,6146,TWIN BAYOU FARMS,1,1,,
,6227,ADRON FARMS,1,1,,
,6246,BECKHAM BROTHERS,1,1,,
,6276,JAG FARMS PARTNERSHIP,1,1,,
,6327,SPLIT TREE FARMS LLC,1,1,,
,6709,FAIR WEATHER ACRES INC,1,1,,
,6769,BC FARMS,1,1,,
,6865,BOAIR INC,1,1,,
,6942,MURRELL FARMS,1,1,,
,6976,JONES PLANTING CO III,1,1,,
,7116,LYNNDALE PARTNERS,1,1,,
,7192,KIN GROWERS PARTNERSHIP,1,1,,
,7207,GIL SCHROEDER SOD SALES INC,1,1,,
,7254,ITTA BENA PLANTATION III,1,1,,
,7255,J SIX FARMS LLC,1,1,,
,7306,ADAMS TRUCKING,,,,1
,7318,BARR HARVESTING INC,1,1,,
,7472,C&P FARMS,1,1,,
,7701,WALTER PILLOW & SONS PLANTING CO,1,1,,
,7802,RJR FOUR FARMS PTN,1,1,,
,7803,FORREST CITY FARMS,1,1,,
,7817,BELL FARMS PARTNERSHIP,1,1,,
,7819,DEAN INC,1,1,,
,7857,B CHASTAIN FARMS,1,1,,
,7962,L & A FARMS,1,1,,
,7977,PITTS FARMS PARTNERSHIP,1,1,,
,8045,BASS FARMS,1,1,,
,8057,COSTELLO LABOR SVC LLC,1,1,,
,8114,SCHANK FARM,1,1,,
,8123,KILLEBREW COTTON CO PTR,1,1,,
,8147,BATA BROTHERS LLC,1,1,,
,8149,LORANG GRAINS LLC,1,1,,
,8151,VOLK FARM,1,1,,
,8178,TOFTELAND FARMS,1,1,,
,8222,CLYDE F KRAENZEL,1,1,,
,8287,CALEB SCOTT CHRISTIANSON,1,1,,
,8420,THUNDERSTRUCK FARMS LLC,1,1,,
,8519,WESLEY NELSON,1,1,,
,8526,PREWITT FARMS,1,1,,
,8586,WELLS AG LLC,1,1,,
,8620,TOM FARMS PAYSERV LLC,1,1,,
,8666,FOUR FARMS,1,1,,
,8729,PORTER CUSTOM HAULING LLC,1,1,,
,8792,OUTBACK LAND CO,1,1,,
,8932,TYSON PRICE FARMS,1,1,,
,8975,WRIGHTS TRUCKING & HARVESTING LLC,1,1,,
,8987,WRIGHTS TRUCKING LLC,,1,,
,9109,GRITTMAN FARMS PARTNERSHIP II,1,1,,
,9152,GOODMAN FARMS JOINT VENTURE,1,1,,
,9170,ESTES FARMS HAY SVC LLC,1,1,,
,9216,CY FARMS LLC,1,1,,
,9341,JOHN HAAS,1,1,,
,,RANDALL J MYERS FARM,1,1,,
,9360,LOCHIRCO FRUIT & PRODUCE INC DBA H,,1,,
,9403,MATTHEW W GATES FARM,1,1,,
,9508,BUCKHORN FARMS PARTNERS,1,1,,
,9567,MURPHY FARMS,1,1,,
,9599,WEST CURTIS FARMS LLC,1,1,,
,9605,RAY CRAWFORD FARMS,1,1,,
,9772,ANDERSON PLANTING CO II,1,1,,
,9885,PEDDICORD HARVESTING,1,1,,
,9934,GARRY MAKAMSON FARMS,1,1,,
Missouri Total,,,153,156,,2
Montana,236,SW & CREW,1,1,,
,339,HALTERMAN SHEEP INC,1,1,,
,685,LEGACY RANCHES PARTNERS LP,,1,,
,711,MCNABB FARMS PARTNERSHIP,1,1,,
,740,STEVE PUST FARMS INC,1,1,,
,759,JEFF PENTZ SHEEP RANCH LLC,1,1,,
,1095,FAUTH FARM,1,1,,
,1202,PRIBYL RANCH INC,1,1,,
,1743,(blank),1,1,,
,1765,COFFEE CATTLE CO,1,1,,
,1773,NEUTRAL VIEW HARVESTING,1,,,
,1903,SCOTT STUBBS LIVESTOCK,1,1,,
,2039,KOMBOL RANCH,1,1,,
,2195,MONTANA TREES INC,1,,,1
,2408,MISKE FARMS INC,,1,,
,2442,(blank),1,1,,
,2839,KA ENTERPRISES INC,2,2,,
,2872,BRANDON REDDIG,1,1,,
,2966,STRAND SPRAYING SERVICE,1,1,,
,3177,CHAUVET CATTLE CO,1,,,1
,3235,LADDER LIVESTOCK CO LLC,2,2,,
,3285,JOHN UHALDE AND CO,1,1,,
,3291,MARGARET M NOYCE REVOCABLE TRUST C,1,1,,
,3612,KEEWAYDIN RANCH,1,1,,
,3747,COLE BROTHERS,1,1,,
,3898,EDDLEMAN OAR LOCK RANCH LLC,1,1,,
,4212,CRAZY MOUNTAIN CATTLE CO,1,1,,
,4503,SKZ HARVESTING INC,1,1,,
,4516,MOUNTAIN AIR CATTLE CO LLC,2,2,,
,4700,BROKEN O LAND & LIVESTOCK LLC,1,1,,
,4844,SID NEWMAN RANCH TRUST,1,1,,
,4909,(blank),1,1,,
,5068,NEUFELD FARMS PARTNERSHIP,1,1,,
,5097,EATON RANCH,1,1,,
,5595,MOOSE FARMS INC,1,1,,
,5693,NEWMAN RANCH LLC,,1,,
,5832,PAUGH INC,1,1,,
,6154,TODD F WAGNER,1,1,,
,6338,(blank),1,1,,
,6361,HA FARMS INC,2,2,,
,6530,HARDY AG INC,1,1,,
,6543,BASS LAKE FARMS LLC,,1,,
,6621,MATERIALS BIO INC / QUAD FIVE,1,1,,
,,MATERIALS BIO INC /QUAD FIVE,2,2,,
,6789,GORDON CATTLE CO,1,1,,
,6791,PARADISE VALLEY FARMS LLC,1,1,,
,6811,R L LANKFORD FARMS INC,1,1,,
,6832,BLISS FARMS PARTNERSHIP,1,1,,
,6950,TULE CREEK RANCH,,1,,
,8297,HONEYLAND INC,1,1,,
,8325,INDRELAND RANCH,1,1,,
,8474,NASH RANCHING CORP,1,1,,
,8479,JENSEN RANCH CO,1,,,1
,8483,CLAY D PALFREYMAN TRUCKING INC,2,2,,
,8592,(blank),1,1,,
,8898,SEE FARMS,1,1,,
,8978,THISTLEDEW LAND & CATTLE LP,1,1,,
,9045,R & C SUPPLY LLC,1,1,,
,9103,FAST AG INC,1,1,,
,9639,JON C WILDE RANCH,,1,,
,9689,LEHFELDT RAMBOUILLETS,1,1,,
,9719,SKINNER RANCH SEEDSTOCK LLC,1,1,,
,9898,VALLEY VIEW CHAROLAIS RANCH INC,,1,,
Montana Total,,,62,65,,3
Nebraska,,(blank),,,,1
,146,CSS FARMS INC,2,2,,
,976,DANIELS PRODUCE LLC,2,2,,
,2826,TEN WEST CATTLE INC,1,1,,
,2919,HELDT PRODUCE INC,2,2,,
,3177,AMAZING GRAINS FAMILY FARMS,1,1,,
,3835,DON OPPLIGER FARMS,1,1,,
,4218,TINANT RANCH LLC,1,1,,
,4340,WEEKS FAMILY FARMS,1,1,,
,4631,THOMPSON SEED POTATO PTR,2,2,,
,5887,TERCEL LAND & CATTLE,1,1,,
,6169,GARY ROBISON D/B/A ROBISON CUSTOM,1,1,,
,7628,BOW & ARROW RANCH,,1,,
,7639,CSS POTATO FARMS LLC,1,1,,
,7683,R&R CHRISTO CONSTRUCTION LLC,1,,,1
,8628,ROEDER HONEY FARMS INC,2,2,,
,8884,THOMPSON SEED POTATO OF ND,1,1,,
Nebraska Total,,,20,20,,2
Nevada,912,PERI & SONS FARMS OF CA LLC,1,1,,
,,PERI & SONS FARMS OF CA LLC18,1,1,,
,,PERI & SONS FARMS OF CALIFORNIA LL,6,6,,
,3200,LAZY GF RANCH,1,1,,
,3631,JOHN GRETLEIN,2,3,,
,4362,NNIMA BEE CO LLC,1,1,,
,4788,PAM S KITCHEN SVCS LLC,1,1,,
,5412,PERI & SON FARMS INC,1,1,,
,,PERI & SONS FARMS INC,5,5,,
,5794,SNYDER LIVESTOCK CO INC,1,1,,
,6392,DESERT VALLEY HONEY LLC,,1,,
Nevada Total,,,20,22,,
New Hampshire,,CLARK BROTHERS ORCHARDS LLC,1,1,,
,38,SALMON FALLS NURSERY INC,1,1,,
,428,STANDARD ORCHARDS,2,2,,
,740,VERRILL FARM LLC,2,2,,
,759,SUNNYCREST FARM INC,1,1,,
,853,B W BISHOP & SONS INC DBA BISHOP S,1,1,,
,1148,ROTA SPRING FARM,2,2,,
,1361,COOPER FARMS INC,1,1,,
,1407,BROOKSBY FARM,1,1,,
,1487,HENRY J STEERE DBA STEERE ORCHARD,1,1,,
,1503,AHLHOLM INC,1,1,,
,1512,STONEFIELD FARM,1,1,,
,1718,HARPERS FARM & GARDEN LLC,1,1,,
,1731,SULLIVAN FARM LLC,1,1,,
,1906,WINDING BROOK TURF FARM DRIVERS,1,1,,
,,WINDING BROOK TURF FARM HARVEST,1,1,,
,,WINDING BROOK TURF FARM HARVEST 2,1,,,
,,WINDING BROOK TURF FARM MECHANICS,1,,,1
,1920,DAVIDIAN BROTHERS FARM,1,,,1
,2140,LYNDY FARMS OF CT LLC,1,1,,
,2484,VOLANTE FARMS INC,1,1,,
,2593,THE LYMAN FARM INC,1,1,,
,2663,RUSSELL ORCHARDS INC,1,1,,
,2671,ROGERS ORCHARDS INC,1,1,,
,2762,ROBERT CIRCLE R FRUIT FARMS INC,1,1,,
,2888,BREEZY GARDENS FARM,1,,,1
,2936,MARCH FARM,1,1,,
,3107,JACOBS FARM INC,,1,,
,3199,HINDINGER FARM,1,1,,
,3534,FAIRVIEW FARMS INC,1,1,,
,3670,GILSON FAMILY HERB ENT,1,1,,
,3879,SCOTT S ORCHARD AND NURSERY AKA SC,1,1,,
,4059,KING FARM INC,2,2,,
,4060,WOODSTOCK ORCHARDS LLC,1,1,,
,4405,DICK S MARKET GARDEN INC,1,1,,
,4700,BLUE HILLS ORCHARD INC,1,1,,
,4815,LEOBARDO MONDRAGON DBA FOREST HARV,1,1,,
,5038,LYNN ETTE AND SONS INC,1,1,,
,5166,HARTIKKA TREE FARMS,1,1,,
,5616,ATLAS FARMS LLC,1,1,,
,5656,LAVOIES FARM LLC,1,1,,
,5710,JOHNNY S ROADSIDE MARKET GARDEN,1,1,,
,5817,NOURSE FARMS INC,1,1,,
,6012,PHILBIN ORCHARDS INC,1,,,1
,6206,TORREY FARMS INC,1,2,,
,6381,WESTWARD ORCHARDS INC,1,,,1
,6667,SUNFLOWER GARDENS LLC,1,1,,
,6739,LULL FARM LLC,2,1,,1
,6868,PATTERSON FARM & FOUR STAR FARMS,1,1,,
,6894,DBA NICHOLS TREE FARM,1,1,,
,7004,BOLTON ORCHARDS,1,1,,
,7039,PLEASANT VALLEY GARDENS,1,1,,
,7088,OLIVER FARMS INC,1,1,,
,7237,ORCHARD MADE PRODUCTS DBA MANN ORC,1,1,,
,7338,FAIRVIEW ORCHARDS INC,1,1,,
,7760,CARVER HILL ORCHARD,1,1,,
,7781,BIG O FARMS INC,2,2,,
,8113,BOYS IN BERRIES LLC DBA WARD S BER,2,1,,1
,8172,PINELAND FARMS / GILLESPIE FARMS D,1,1,,
,8188,SHARON RITTER,1,1,,
,8241,J W ANDERSON AND SONS,1,1,,
,8296,GERARD BEIRNE ENTERPRISES DBA BERL,1,,,1
,8317,SUROWIEC FARM,1,1,,
,8487,R BELANGER & SONS FARMS,1,1,,
,8502,DONDERO ORCHARDS LLC,1,1,,
,8530,CONNECTICUT VALLEY ORCHARDS LLC,2,2,,
,8654,MEADOWBROOK ORCHARDS INC,1,1,,
,8660,GLENN STILLMAN DBA STILLMAN S FARM,3,2,,1
,8668,SUNNY CREST ORCHARDS,1,1,,
,8678,HART S GREENHOUSE & FLORIST LLC,1,3,,
,8696,MULBERRY FARM,1,1,,
,8707,BROOKDALE FRUIT FARM INC,1,1,,
,8755,CARLSON ORCHARDS INC,1,1,,
,8926,GOTTA S FARM,1,1,,
,9391,HONEY POT HILL ORCHARDS,1,1,,
,9569,MEADOW VIEW FARM LLC,1,1,,
,9687,VINCENT FARMS,1,1,,
,9893,TOUGAS FAMILY FARM LLC,1,1,,
New Hampshire Total,,,87,81,,9
New Jersey,489,R & A LEONE FAMILY FARMS LLC,1,1,,
,1211,(blank),1,1,,
,1737,ALSTEDE FARMS LLC DBA ALSTEDE FARM,1,2,,
,2187,RUTGERS NURSERY INC,1,1,,
,2690,HOPEWELL VALLEY VINEYARDS LLC,1,1,,
,2988,HONEY BROOK ORGANIC FARM LLC,1,1,,
,4733,GIALANELLA EVERGREENS & NURSERY IN,1,1,,
,4780,MAPLE LEAF FARMS INC,1,1,,
,4852,STONY HILL GARDENS LLC,1,1,,
,5117,J & S BROTHERS FARMS LLC,1,,,1
,6479,VELASQUEZ FARMS LLC,1,1,,
,6624,BATTIATO FARMS,1,1,,
,7038,STORMY ACRES,,,,1
,7268,PASTORE ORCHARDS INC,1,1,,
,7546,JERSEY FARM PRODUCE INC,1,1,,
,8234,VILLA MILAGRO VINEYARDS LLC,1,1,,
,8818,OVERDEVEST NURSERIES LP,1,1,,
,9611,PHILLIPS FARMS LLC,1,1,,
New Jersey Total,,,17,17,,2
New Mexico,335,JJ&M TRUCKING,1,1,,
,621,BOS DAIRY LLC SOUTH,1,1,,
,1576,BROTHERS TRANSPORTATION LLC,,1,,
,1680,ROCKY TOP DAIRY FARM,1,1,,
,1861,ALVIDREZ TRUCKING LLC,1,1,,
,2736,NS TRUCKING,1,1,,
,3586,LUIS MIGUEL CHAVEZ DBA MYC TRUCKIN,1,1,,
,4288,VP,1,1,,
,5175,TODD & HONEY POLING,1,1,,
,5927,BLACK MAMBA TRUCK SVCS,1,,,1
,6000,M & D INC,1,1,,
,6851,ENCHANTED PRODUCTS OF NEW MEXICO,,,,1
,7491,MIDWAY TRUCKING CORP,1,1,,
,7559,SOUTHERN DRAW DAIRY,1,1,,
,7580,SALVADOR RIVERA DBA SEED TRUCKING,1,1,,
,7692,J & V TRUCKING,1,1,,
,7815,GRADY CONTRACTING INC,1,1,,
,7873,RORROS TRUCKING LLC,1,1,,
,8015,SPRA GREEN,1,1,,
,8084,RYM TRUCKING LLC,1,1,,
,8336,OLIVAS TRUCKING LLC,1,1,,
,8383,ROBINSON FARMS INC,2,2,,
,8724,TRIPLE G TRUCKING LLC,1,1,,
,8726,R & M TRUCKING,1,1,,
,8859,CWBC INC,1,1,,
,9271,FDZ TRUCKING,1,1,,
,9504,FINNEY FARMS INC,1,1,,
,9778,CONLEY S NURSERY INC,1,1,,
,9938,NAC TRUCKING,1,1,,
,9999,WALTERSCHEID TRUCKING AND FAMRS IN,1,1,,
New Mexico Total,,,29,29,,2
New York,,R&G PRODUCE LLC & YURCHUCK FARM IN,1,1,,
,7,DEER RUN FARMS LLC,1,1,,
,18,EVOLUTIONARY ORGANICS,1,1,,
,52,PANTALEONS FARM INC,1,1,,
,118,PEDERSEN FARMS INC,1,,,1
,306,ALLSTATE APPLE EXCHANGE DBA HUDSON,1,1,,
,549,KENT FAMILY GROWERS,1,1,,
,594,PETER STEFANOPOULOS INC,1,,,1
,706,NORMAN KEIL NURSERIES INC,3,3,,
,709,CANDELLA S FARM & GREENHOUSES LLC,1,1,,
,716,ONTARIO ORCHARDS,1,1,,
,758,MORGIEWICZ PRODUCE INC,1,1,,
,766,NORMAN KEIL NURSERIES INC,1,1,,
,887,L & M FARMS,1,1,,
,907,MAYNARD FARMS,1,1,,
,984,OCHS ORCHARD,1,,,1
,1022,SIMPELAAR FRUIT FARMS,1,1,,
,1100,AMEELE FARMS LLC,1,1,,
,1173,HERMENET FRUIT FARM,1,1,,
,1185,STONELEDGE FARM LLC,1,1,,
,1331,TOWER FAMILY LLP,1,1,,
,1421,CLEARVIEW ORCHARDS,1,1,,
,1433,JAMES J PIEDIMONTE & SONS INC,1,1,,
,1493,LAKESIDE SOD SUPPLY CO INC,1,1,,
,1886,MARKRISTO FARM,1,1,,
,1930,VAN PUTTE SEED CO INC,1,1,,
,1983,YONDER FRUIT FARM INC,1,1,,
,1989,YOUNGMAN BROS FRUIT FARM,1,1,,
,2074,TASSONE FARMS,1,1,,
,2135,CRITZ FARMS,1,1,,
,2424,WERTMAN FARM,1,,,1
,2430,ELHANNON WHOLESALE NURSERY INC,1,1,,
,2929,DB ORCHARDS LLC,1,1,,
,3112,DENISON FARM,1,1,,
,3356,WICKHAM S FRUIT FARM LLC,1,1,,
,3418,SCHICHTEL S NURSERY INC,2,2,,
,3452,GABRIELSON FARMS LLC,1,1,,
,3455,S & SO PRODUCE FARMS LLC,1,1,,
,3523,FISHKILL FARMS,1,1,,
,3684,RMV FARMS LLC DBA CORNER STONE,1,1,,
,3801,ANYELAS VINEYARDS LLC,1,1,,
,3924,ABENDROTH S APPLE RIDGE ORCHARD,1,1,,
,3963,MAPLEVIEW DAIRY LLC,1,1,,
,3989,GOLDEN HARVEST FARM,1,1,,
,4274,PLUMMER ORCHARDS LLC,1,1,,
,4293,KAPPUS FARMS INC,1,1,,
,4341,REEVES FARMS LLC,1,1,,
,4746,M&M PRODUCE FARMS & SALES,3,3,,
,4882,CAHOON FARMS INC,1,1,,
,4942,YAN S GINSENG FARM INC,1,1,,
,5028,FOX FRUIT FARMS LLC,1,1,,
,5068,SOONS ORCHARDS,1,1,,
,5141,FORKING PATHS VINEYARDS INC AND AS,,1,,
,5223,BRADFORD REEVE SR AND PAUL REEVE I,1,1,,
,5343,JUNIPER HILL FARM,1,,,1
,5385,PRECISION RE DEVELOPMENT CORP,1,,,1
,5426,THANKSGIVING FARM AT THE CTR FOR D,1,1,,
,5526,LEDGE ROCK FARMS LLC,1,1,,
,5668,G FAMILY PASSAIC LLC TIME EQUITIES,1,1,,
,5683,MARSHALL SKIFF ORCHARD LLC,1,1,,
,5760,ZINO NURSERIES & LANDSCAPING,2,2,,
,5832,LJM GROWER INC,1,1,,
,5841,KLEIN HILL FRUIT FARM,1,1,,
,5843,CHILDSTOCK FARMS INC,1,1,,
,5852,JAM OF NEW PALTZ INC,1,1,,
,5940,W G MINARD & SONS,1,1,,
,6014,ARMINGTON NURSERY,1,1,,
,6065,RAYMOND LUHRMAN DBA FOX CREEK FARM,1,1,,
,6154,TWIN PONDS NURSERY,1,1,,
,6178,WINDFLOWER FARMS LLC,1,1,,
,6194,BIELER ENTERPRISES,1,1,,
,6195,CHERRY LAWN FRUIT FARMS LLC,1,1,,
,6201,GADE FARM LLC,1,1,,
,6265,BEHLING ORCHARDS,1,1,,
,6279,FRESH START ORCHARDS LLC,1,1,,
,6284,BURGER S FARM,1,1,,
,6363,LAKESIDE ORCHARDS INC,1,1,,
,6478,INDIAN LADDER FARMS,1,1,,
,6481,SCHREIBER ORCHARDS,1,1,,
,6534,ALTAMONT ORCHARDS INC,1,1,,
,6614,GARDEN TIME INC,1,1,,
,6629,EVERETT ORCHARDS LTD,1,1,,
,6733,MILK PAIL LLC,1,1,,
,6813,OVERLOOK FARMS INC,1,1,,
,6838,BECKER S FARM LLC,1,1,,
,6930,ERWAY FARMS,1,1,,
,7035,A. ZIMMERMAN & SONS INC,1,1,,
,7096,VAN DE WALLE FRUIT FARM LLC,1,1,,
,7125,ORCHARD DALE FRUIT CO LLC,1,1,,
,7130,HICKORY HILL FARM LLC,1,1,,
,7149,G & G FARMS INC,1,1,,
,7188,WILKLOW ORCHARDS LLC,2,2,,
,7486,KAST FARMS INC,1,1,,
,7609,GOOLD ORCHARDS,1,1,,
,7686,M G HURD & SONS,2,2,,
,7729,DONATO FARMS INC,1,1,,
,7795,ENGEL S ACRES,1,1,,
,7798,THOMAS S ROE DBA ROE ORCHARDS,1,1,,
,7807,BEAK AND SKIFF APPLE FARMS INC,1,1,,
,7822,FINO FARMS LLC,1,1,,
,7850,STANTON S FEURA FARM/ STANTON BROS,1,1,,
,7883,JANGSOO FARM INC,1,,,1
,7977,MILLBROOK VINEYARD AND WINERY INC,1,1,,
,8077,BUHRMASTER FRUIT & PRODUCE,1,1,,
,8126,BLACKHORSE FARM INC,2,2,,
,8179,SARATOGA SOD FARM INC,1,1,,
,8181,SAMASCOTT ORCHARDS,1,1,,
,8211,KC BAILEY ORCHARDS INC,1,1,,
,8256,MAMMOSER FARMS INC,1,1,,
,,MAMMOSER FARMS INCORPORATED,1,,,1
,8286,KUTIK S HONEY FARM LLC,1,1,,
,8297,HH DOBBINS & SON LLC,1,1,,
,8359,MIKE WALSH AND SONS GREENHOUSES IN,1,1,,
